2025-02-13 16:21:48 [main] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'importBusinessDataJob' defined in com.danal.batch.job.buisnessData.BusinessDataJobConfig: Failed to instantiate [org.springframework.batch.core.Job]: Factory method 'importBusinessDataJob' threw exception with message: Error creating bean with name 'processStep' defined in com.danal.batch.job.buisnessData.BusinessDataJobConfig: Failed to instantiate [org.springframework.batch.core.Step]: Factory method 'processStep' threw exception with message: ItemWriter must be provided
2025-02-13 16:22:17 [main] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'writer' defined in com.danal.batch.job.buisnessData.BusinessDataJobConfig: Failed to instantiate [org.springframework.batch.item.database.JdbcBatchItemWriter]: Factory method 'writer' threw exception with message: An SQL statement is required.
2025-02-13 16:22:55 [main] INFO  com.danal.batch.BatchApplication - 배치 작업 시작
2025-02-13 16:23:08 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (10 / 2190229)
2025-02-13 16:23:08 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (20 / 2190229)
2025-02-13 16:23:08 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (30 / 2190229)
2025-02-13 16:23:08 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (40 / 2190229)
2025-02-13 16:23:08 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (50 / 2190229)
2025-02-13 16:23:08 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (60 / 2190229)
2025-02-13 16:23:08 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (70 / 2190229)
2025-02-13 16:23:08 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (80 / 2190229)
